* T-Spice 13.00 Simulation	Sun Feb 03 16:57:35 2019	C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\T_B_endocer8x3.sp
* Command line: tspice -o "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\T_B_endocer8x3.out" "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\T_B_endocer8x3.sp" 
* T-Spice Win32 13.00.20080321.01:01:33
* Warning : "130nm.md" line 1 Invalid binned model NMOS
*         : "130nm.md" line 1 Binned models must define LMIN, LMAX, WMIN, and WMAX, and have a name suffix of .# (e.g. nch.1)
* Warning : "130nm.md" line 142 Invalid binned model PMOS
*         : "130nm.md" line 142 Binned models must define LMIN, LMAX, WMIN, and WMAX, and have a name suffix of .# (e.g. nch.1)
* Warning : Device Xnew_INV_1.MN1 - Acde = 0.3 is too small.
* Warning : Device MNMOS_10 - Acde = 0.3 is too small.
* Warning : Node B0 is attached to only one device (MNMOS_12)
* Warning : Node B3 is attached to only one device (MNMOS_8)

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 8
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 21                MOSFET geometries - 8       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 3                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 3       
*   Independent nodes - 53                   Boundary nodes - 4       
*         Total nodes - 57      

* *** 7 WARNING MESSAGES GENERATED DURING SETUP


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-009   1e-006
TRANSIENT ANALYSIS
Time<s>        v(B0,Gnd)<V>  v(D0,Gnd)<V>  v(D1,Gnd)<V>  v(D2,Gnd)<V>
 0.000000e+000  1.7487e-008  2.7854e+000  2.7854e+000  2.7854e+000
 6.250000e-011  1.7487e-008  2.7854e+000  2.7854e+000  2.7854e+000
 6.875000e-010  1.7487e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.687500e-009  1.7487e-008  2.7854e+000  2.7854e+000  2.7854e+000
 4.687499e-009  1.7487e-008  2.7854e+000  2.7854e+000  2.7854e+000
 6.687499e-009  1.7487e-008  2.7854e+000  2.7854e+000  2.7854e+000
 8.687499e-009  1.7487e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.068750e-008  1.7487e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.268749e-008  1.7487e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.468749e-008  1.7487e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.668750e-008  1.7487e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.868750e-008  1.7487e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.068750e-008  1.7487e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.268750e-008  1.7487e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.468750e-008  1.7487e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.668750e-008  1.7487e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.868750e-008  1.7487e-008  2.7854e+000  2.7854e+000  2.7854e+000
 3.068750e-008  1.7487e-008  2.7854e+000  2.7854e+000  2.7854e+000
 3.268750e-008  1.7486e-008  2.7854e+000  2.7854e+000  2.7854e+000
 3.468750e-008  1.7486e-008  2.7854e+000  2.7854e+000  2.7854e+000
 3.668750e-008  1.7486e-008  2.7854e+000  2.7854e+000  2.7854e+000
 3.868750e-008  1.7485e-008  2.7854e+000  2.7854e+000  2.7854e+000
 4.068750e-008  1.7489e-008  2.7854e+000  2.7854e+000  2.7854e+000
 4.268750e-008  1.7493e-008  2.7854e+000  2.7854e+000  2.7854e+000
 4.468750e-008  1.7496e-008  2.7854e+000  2.7854e+000  2.7854e+000
 4.668749e-008  1.7500e-008  2.7854e+000  2.7854e+000  2.7854e+000
 4.868749e-008  1.7504e-008  2.7854e+000  2.7854e+000  2.7854e+000
 5.068749e-008  1.7471e-008  2.7854e+000  2.7854e+000  2.7854e+000
 5.268749e-008  1.7437e-008  2.7854e+000  2.7854e+000  2.7854e+000
 5.468749e-008  1.7536e-008  2.7854e+000  2.7854e+000  2.7854e+000
 5.668749e-008  1.7439e-008  2.7854e+000  2.7854e+000  2.7854e+000
 5.868749e-008  1.7534e-008  2.7854e+000  2.7854e+000  2.7854e+000
 6.068749e-008  1.7441e-008  2.7854e+000  2.7854e+000  2.7854e+000
 6.268749e-008  1.7532e-008  2.7854e+000  2.7854e+000  2.7854e+000
 6.468749e-008  1.7443e-008  2.7854e+000  2.7854e+000  2.7854e+000
 6.668749e-008  1.7530e-008  2.7854e+000  2.7854e+000  2.7854e+000
 6.868750e-008  1.7444e-008  2.7854e+000  2.7854e+000  2.7854e+000
 7.068750e-008  1.7529e-008  2.7854e+000  2.7854e+000  2.7854e+000
 7.268750e-008  1.7446e-008  2.7854e+000  2.7854e+000  2.7854e+000
 7.468750e-008  1.7527e-008  2.7854e+000  2.7854e+000  2.7854e+000
 7.668750e-008  1.7447e-008  2.7854e+000  2.7854e+000  2.7854e+000
 7.868750e-008  1.7526e-008  2.7854e+000  2.7854e+000  2.7854e+000
 8.068750e-008  1.7449e-008  2.7854e+000  2.7854e+000  2.7854e+000
 8.268750e-008  1.7525e-008  2.7854e+000  2.7854e+000  2.7854e+000
 8.468750e-008  1.7450e-008  2.7854e+000  2.7854e+000  2.7854e+000
 8.668750e-008  1.7523e-008  2.7854e+000  2.7854e+000  2.7854e+000
 8.868750e-008  1.7451e-008  2.7854e+000  2.7854e+000  2.7854e+000
 9.068750e-008  1.7522e-008  2.7854e+000  2.7854e+000  2.7854e+000
 9.268750e-008  1.7452e-008  2.7854e+000  2.7854e+000  2.7854e+000
 9.468750e-008  1.7521e-008  2.7854e+000  2.7854e+000  2.7854e+000
 9.668750e-008  1.7453e-008  2.7854e+000  2.7854e+000  2.7854e+000
 9.868750e-008  1.7520e-008  2.7854e+000  2.7854e+000  2.7854e+000
