* T-Spice 13.00 Simulation	Mon Feb 11 14:44:01 2019	C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\counter_TDC2.sp
* Command line: tspice -o "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\counter_TDC2.out" "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\counter_TDC2.sp" 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 8
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 14                MOSFET geometries - 4       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 4                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 4       
*   Independent nodes - 7                    Boundary nodes - 5       
*         Total nodes - 12      


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-010   1e-007
TRANSIENT ANALYSIS
Time<s>        v(Stop,Gnd)<V>  v(Start,Gnd)<V>  v(Out,Gnd)<V>  v(Clock,Gnd)<V>  v(Time,Gnd)<V>
 0.000000e+000  3.3000e+000  0.0000e+000  1.7015e-008  0.0000e+000  2.3839e-009
 1.000000e-012  3.3000e+000  0.0000e+000  2.1307e-001  3.3000e+000  9.3532e-002
 1.315000e-012  3.3000e+000  0.0000e+000  1.9570e-001  3.3000e+000  8.9668e-002
 4.465000e-012  3.3000e+000  0.0000e+000  9.0999e-002  3.3000e+000  6.2483e-002
 9.884126e-012  3.3000e+000  0.0000e+000 -2.2421e-002  3.3000e+000  2.7751e-002
 1.582385e-011  3.3000e+000  0.0000e+000 -4.0687e-002  3.3000e+000  1.0966e-002
 2.460989e-011  3.3000e+000  0.0000e+000 -2.3662e-002  3.3000e+000  2.3433e-003
 4.006722e-011  3.3000e+000  0.0000e+000 -3.6451e-003  3.3000e+000  8.9633e-005
 7.269002e-011  3.3000e+000  0.0000e+000  1.0844e-003  3.3000e+000  8.5555e-004
 1.592432e-010  3.3000e+000  0.0000e+000 -2.3781e-004  3.3000e+000  1.2449e-004
 3.592432e-010  3.3000e+000  0.0000e+000  2.0146e-004  3.3000e+000  1.2607e-005
 5.592432e-010  3.3000e+000  0.0000e+000 -1.5456e-004  3.3000e+000  4.8503e-005
 7.592432e-010  3.3000e+000  0.0000e+000  1.2685e-004  3.3000e+000 -1.1945e-005
 9.592432e-010  3.3000e+000  0.0000e+000 -1.0360e-004  3.3000e+000  3.8075e-005
 1.159243e-009  3.3000e+000  0.0000e+000  8.8976e-005  3.3000e+000 -1.3704e-005
 1.359243e-009  3.3000e+000  0.0000e+000 -7.5608e-005  3.3000e+000  2.9055e-005
 1.559243e-009  3.3000e+000  0.0000e+000  6.6654e-005  3.3000e+000 -1.0657e-005
 1.759243e-009  3.3000e+000  0.0000e+000 -5.7971e-005  3.3000e+000  2.1487e-005
 1.959243e-009  3.3000e+000  0.0000e+000  5.1897e-005  3.3000e+000 -7.0789e-006
 2.159243e-009  3.3000e+000  0.0000e+000 -4.5716e-005  3.3000e+000  1.5687e-005
 2.359243e-009  3.3000e+000  0.0000e+000  4.1286e-005  3.3000e+000 -4.1030e-006
 2.559243e-009  3.3000e+000  0.0000e+000 -3.6639e-005  3.3000e+000  1.1427e-005
 2.759243e-009  3.3000e+000  0.0000e+000  3.3253e-005  3.3000e+000 -1.9251e-006
 2.959243e-009  3.3000e+000  0.0000e+000 -2.9623e-005  3.3000e+000  8.3998e-006
 3.159243e-009  3.3000e+000  0.0000e+000  2.6959e-005  3.3000e+000 -4.3889e-007
 3.359243e-009  3.3000e+000  0.0000e+000 -2.4061e-005  3.3000e+000  6.2787e-006
 3.559243e-009  3.3000e+000  0.0000e+000  2.1932e-005  3.3000e+000  5.2579e-007
 3.759243e-009  3.3000e+000  0.0000e+000 -1.9592e-005  3.3000e+000  4.8034e-006
 3.959243e-009  3.3000e+000  0.0000e+000  1.7879e-005  3.3000e+000  1.1195e-006
 4.159243e-009  3.3000e+000  0.0000e+000 -1.5976e-005  3.3000e+000  3.7779e-006
 4.359243e-009  3.3000e+000  0.0000e+000  1.4592e-005  3.3000e+000  1.4607e-006
 4.559243e-009  3.3000e+000  0.0000e+000 -1.3038e-005  3.3000e+000  3.0611e-006
 4.759243e-009  3.3000e+000  0.0000e+000  1.1919e-005  3.3000e+000  1.6361e-006
 4.959243e-009  3.3000e+000  0.0000e+000 -1.0646e-005  3.3000e+000  2.5404e-006
 5.001000e-009  3.3000e+000  0.0000e+000  6.7643e-006  3.3000e+000  2.0584e-006
 5.002000e-009  3.3000e+000  0.0000e+000 -2.2212e-001  0.0000e+000 -7.6680e-002
 5.0023150e-009  3.3000e+000  0.0000e+000 -2.0027e-001  0.0000e+000 -7.2663e-002
