* T-Spice 13.00 Simulation	Sun May 05 15:00:56 2019	C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\counter_TDC3.sp
* Command line: tspice -o "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\counter_TDC3.out" "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\counter_TDC3.sp" 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 8
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 14                MOSFET geometries - 8       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 4                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 4       
*   Independent nodes - 63                   Boundary nodes - 5       
*         Total nodes - 68      


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-011   1e-008
TRANSIENT ANALYSIS
Time<s>        v(Stop,Gnd)<V>  v(Start,Gnd)<V>  v(Out,Gnd)<V>  v(Clock,Gnd)<V>  v(Time,Gnd)<V>
 0.000000e+000  1.0000e+000  0.0000e+000  1.5338e-004  0.0000e+000  1.1951e-004
 6.250000e-013  1.0000e+000  0.0000e+000  1.9128e-004  6.2500e-001  1.4363e-004
 1.000000e-012  1.0000e+000  0.0000e+000  1.6431e-004  1.0000e+000  1.3608e-004
 1.449987e-012  1.0000e+000  0.0000e+000  1.1764e-004  1.0000e+000  1.1876e-004
 5.949860e-012  1.0000e+000  0.0000e+000 -6.9752e-005  1.0000e+000  1.0265e-004
 2.594986e-011  1.0000e+000  0.0000e+000  8.1805e-006  1.0000e+000  1.2131e-004
 4.594986e-011  1.0000e+000  0.0000e+000  8.0121e-004  1.0000e+000  1.3083e-004
 6.594986e-011  1.0000e+000  0.0000e+000  1.0849e-003  1.0000e+000  1.2676e-004
 8.594986e-011  1.0000e+000  0.0000e+000  9.8271e-004  1.0000e+000  1.2839e-004
 1.059498e-010  1.0000e+000  0.0000e+000  7.8405e-004  1.0000e+000  1.2545e-004
 1.259498e-010  1.0000e+000  0.0000e+000  6.0767e-004  1.0000e+000  1.2531e-004
 1.459498e-010  1.0000e+000  0.0000e+000  4.7656e-004  1.0000e+000  1.2366e-004
 1.510000e-010  1.0000e+000  0.0000e+000  4.5056e-004  1.0000e+000  1.2351e-004
 1.520000e-010  1.0000e+000  0.0000e+000  3.8580e-004  0.0000e+000  1.0261e-004
 1.524500e-010  1.0000e+000  0.0000e+000  4.0477e-004  0.0000e+000  1.1279e-004
 1.569500e-010  1.0000e+000  0.0000e+000  4.1673e-004  0.0000e+000  1.2366e-004
 1.769500e-010  1.0000e+000  0.0000e+000  3.9800e-004  0.0000e+000  1.2795e-004
 1.969500e-010  1.0000e+000  0.0000e+000  3.0905e-004  0.0000e+000  1.1967e-004
 2.169500e-010  1.0000e+000  0.0000e+000  2.4116e-004  0.0000e+000  1.2258e-004
 2.369500e-010  1.0000e+000  0.0000e+000  2.0034e-004  0.0000e+000  1.1913e-004
 2.569500e-010  1.0000e+000  0.0000e+000  1.7780e-004  0.0000e+000  1.2079e-004
 2.769499e-010  1.0000e+000  0.0000e+000  1.6588e-004  0.0000e+000  1.1928e-004
 2.969499e-010  1.0000e+000  0.0000e+000  1.5972e-004  0.0000e+000  1.2014e-004
 3.000000e-010  1.0000e+000  0.0000e+000  1.5911e-004  0.0000e+000  1.1978e-004
 3.025000e-010  1.0000e+000  0.0000e+000  2.1239e-004  1.0000e+000  1.3831e-004
 3.036250e-010  1.0000e+000  0.0000e+000  1.9999e-004  1.0000e+000  1.2827e-004
 3.148749e-010  1.0000e+000  0.0000e+000  1.5743e-004  1.0000e+000  1.1279e-004
 3.348749e-010  1.0000e+000  0.0000e+000  1.3312e-004  1.0000e+000  1.2269e-004
 3.548749e-010  1.0000e+000  0.0000e+000  1.3709e-004  1.0000e+000  1.1724e-004
 3.748749e-010  1.0000e+000  0.0000e+000  1.4516e-004  1.0000e+000  1.2141e-004
 3.948749e-010  1.0000e+000  0.0000e+000  1.5272e-004  1.0000e+000  1.1883e-004
 4.148749e-010  1.0000e+000  0.0000e+000  1.5740e-004  1.0000e+000  1.2073e-004
 4.348749e-010  1.0000e+000  0.0000e+000  1.6085e-004  1.0000e+000  1.1953e-004
 4.510000e-010  1.0000e+000  0.0000e+000  1.6198e-004  1.0000e+000  1.2033e-004
 4.520000e-010  1.0000e+000  0.0000e+000  9.3620e-005  0.0000e+000  9.5631e-005
 4.524500e-010  1.0000e+000  0.0000e+000  1.1299e-004  0.0000e+000  1.0624e-004
 4.569500e-010  1.0000e+000  0.0000e+000  1.3338e-004  0.0000e+000  1.1745e-004
 4.769500e-010  1.0000e+000  0.0000e+000  1.8400e-004  0.0000e+000  1.2427e-004
 4.969500e-010  1.0000e+000  0.0000e+000  1.8194e-004  0.0000e+000  1.1808e-004
 5.169500e-010  1.0000e+000  0.0000e+000  1.7200e-004  0.0000e+000  1.2160e-004
 5.369500e-010  1.0000e+000  0.0000e+000  1.6411e-004  0.0000e+000  1.1879e-004
 5.569500e-010  1.0000e+000  0.0000e+000  1.5921e-004  0.0000e+000  1.2054e-004
 5.769500e-010  1.0000e+000  0.0000e+000  1.5644e-004  0.0000e+000  1.1924e-004
 5.969500e-010  1.0000e+000  0.0000e+000  1.5495e-004  0.0000e+000  1.2009e-004
 6.000000e-010  1.0000e+000  0.0000e+000  1.5481e-004  0.0000e+000  1.1977e-004
 6.010000e-010  1.0000e+000  0.0000e+000  2.2702e-004  1.0000e+000  1.5312e-004
 6.014500e-010  1.0000e+000  0.0000e+000  2.0776e-004  1.0000e+000  1.3895e-004
 6.059500e-010  1.0000e+000  0.0000e+000  1.9098e-004  1.0000e+000  1.2437e-004
 6.259500e-010  1.0000e+000  0.0000e+000  1.4312e-004  1.0000e+000  1.1462e-004
 6.459500e-010  1.0000e+000  0.0000e+000  1.3556e-004  1.0000e+000  1.2206e-004
 6.659500e-010  1.0000e+000  0.0000e+000  1.3892e-004  1.0000e+000  1.1742e-004
 6.859500e-010  1.0000e+000  0.0000e+000  1.4414e-004  1.0000e+000  1.2113e-004
 7.059500e-010  1.0000e+000  0.0000e+000  1.4861e-004  1.0000e+000  1.1874e-004
 7.259500e-010  1.0000e+000  0.0000e+000  1.5195e-004  1.0000e+000  1.2051e-004
 7.459500e-010  1.0000e+000  0.0000e+000  1.5428e-004  1.0000e+000  1.1937e-004
 7.510000e-010  1.0000e+000  0.0000e+000  1.5473e-004  1.0000e+000  1.1994e-004
 7.520000e-010  1.0000e+000  0.0000e+000  8.5457e-005  0.0000e+000  9.5008e-005
 7.524500e-010  1.0000e+000  0.0000e+000  1.0466e-004  0.0000e+000  1.0567e-004
 7.569500e-010  1.0000e+000  0.0000e+000  1.2385e-004  0.0000e+000  1.1698e-004
 7.769500e-010  1.0000e+000  0.0000e+000  1.7347e-004  0.0000e+000  1.2406e-004
 7.969500e-010  1.0000e+000  0.0000e+000  1.7485e-004  0.0000e+000  1.1797e-004
 8.169500e-010  1.0000e+000  0.0000e+000  1.6787e-004  0.0000e+000  1.2157e-004
 8.369500e-010  1.0000e+000  0.0000e+000  1.6185e-004  0.0000e+000  1.1878e-004
 8.569500e-010  1.0000e+000  0.0000e+000  1.5802e-004  0.0000e+000  1.2055e-004
 8.769500e-010  1.0000e+000  0.0000e+000  1.5583e-004  0.0000e+000  1.1925e-004
 8.969500e-010  1.0000e+000  0.0000e+000  1.5464e-004  0.0000e+000  1.2011e-004
 9.000000e-010  1.0000e+000  0.0000e+000  1.5452e-004  0.0000e+000  1.1978e-004
 9.010000e-010  1.0000e+000  0.0000e+000  2.2699e-004  1.0000e+000  1.5322e-004
 9.014500e-010  1.0000e+000  0.0000e+000  2.0782e-004  1.0000e+000  1.3906e-004
 9.059500e-010  1.0000e+000  0.0000e+000  1.9169e-004  1.0000e+000  1.2450e-004
 9.259500e-010  1.0000e+000  0.0000e+000  1.4494e-004  1.0000e+000  1.1470e-004
 9.459500e-010  1.0000e+000  0.0000e+000  1.3648e-004  1.0000e+000  1.2206e-004
 9.659500e-010  1.0000e+000  0.0000e+000  1.3872e-004  1.0000e+000  1.1740e-004
 9.859500e-010  1.0000e+000  0.0000e+000  1.4304e-004  1.0000e+000  1.2092e-004
 1.000000e-009  1.0000e+000  0.0000e+000  1.4592e-004  1.0000e+000  1.1892e-004
 1.001000e-009  0.0000e+000  0.0000e+000  1.4434e-004  1.0000e+000 -2.3120e-002
 1.001450e-009  0.0000e+000  0.0000e+000  1.4534e-004  1.0000e+000 -1.8522e-002
 1.005950e-009  0.0000e+000  0.0000e+000  1.4678e-004  1.0000e+000 -7.5249e-003
 1.025950e-009  0.0000e+000  0.0000e+000  1.5042e-004  1.0000e+000  4.1857e-003
 1.045950e-009  0.0000e+000  0.0000e+000  1.5205e-004  1.0000e+000 -1.6095e-003
 1.051000e-009  0.0000e+000  0.0000e+000  1.5262e-004  1.0000e+000  7.2839e-005
 1.052000e-009  0.0000e+000  0.0000e+000  8.3051e-005  0.0000e+000  8.9774e-005
 1.052450e-009  0.0000e+000  0.0000e+000  1.0218e-004  0.0000e+000  1.2090e-004
 1.056949e-009  0.0000e+000  0.0000e+000  1.2086e-004  0.0000e+000  2.2644e-004
 1.076949e-009  0.0000e+000  0.0000e+000  1.6986e-004  0.0000e+000  3.4675e-004
 1.096949e-009  0.0000e+000  0.0000e+000  1.7236e-004  0.0000e+000  2.8751e-004
 1.116949e-009  0.0000e+000  0.0000e+000  1.6641e-004  0.0000e+000  3.1554e-004
 1.136949e-009  0.0000e+000  0.0000e+000  1.6105e-004  0.0000e+000  3.0135e-004
 1.156949e-009  0.0000e+000  0.0000e+000  1.5759e-004  0.0000e+000  3.0809e-004
 1.176949e-009  0.0000e+000  0.0000e+000  1.5561e-004  0.0000e+000  3.0464e-004
 1.196949e-009  0.0000e+000  0.0000e+000  1.5453e-004  0.0000e+000  3.0629e-004
 1.200000e-009  0.0000e+000  0.0000e+000  1.5442e-004  0.0000e+000  3.0592e-004
 1.201000e-009  0.0000e+000  0.0000e+000  2.2700e-004  1.0000e+000  3.4892e-004
 1.201450e-009  0.0000e+000  0.0000e+000  2.0787e-004  1.0000e+000  3.3486e-004
 1.205949e-009  0.0000e+000  0.0000e+000  1.9201e-004  1.0000e+000  3.1702e-004
 1.225949e-009  0.0000e+000  0.0000e+000  1.4576e-004  1.0000e+000  2.9717e-004
 1.245949e-009  0.0000e+000  0.0000e+000  1.3693e-004  1.0000e+000  3.0789e-004
 1.265949e-009  0.0000e+000  0.0000e+000  1.3870e-004  1.0000e+000  3.0330e-004
