* T-Spice 13.00 Simulation	Tue Apr 24 17:07:39 2012	C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\3_Input_NAND_Gate\3_Input_NAND_Gate.sp
* Command line: tspice -o "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\3_Input_NAND_Gate\3_Input_NAND_Gate.out" "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\3_Input_NAND_Gate\3_Input_NAND_Gate.sp" 
* T-Spice Win32 13.00.20080321.01:01:33
* Warning : Node N_1 is attached to only one device (MNMOS_1)
* Warning : Node N_3 is attached to only one device (MNMOS_2)
* Warning : Node N_5 is attached to only one device (MNMOS_3)

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 2
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 3                 MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 1       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 4                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 6                    Boundary nodes - 5       
*         Total nodes - 11      

* *** 3 WARNING MESSAGES GENERATED DURING SETUP


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-009   1e-007
TRANSIENT ANALYSIS
Time<s>         v(Vin1)<V>   v(Vin2)<V>   v(Vin3)<V>   v(Vout)<V>
 0.000000e+000  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 6.250000e-011  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 6.875000e-010  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 1.000000e-009  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 1.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 3.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 5.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 7.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 9.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 1.000000e-008  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 1.001507e-008  0.0000e+000  0.0000e+000  7.5356e-002  5.0000e+000
 1.002082e-008  0.0000e+000  0.0000e+000  1.0415e-001  5.0000e+000
 1.004122e-008  0.0000e+000  0.0000e+000  2.0613e-001  5.0000e+000
 1.007961e-008  0.0000e+000  0.0000e+000  3.9807e-001  5.0000e+000
 1.013227e-008  0.0000e+000  0.0000e+000  6.6140e-001  5.0000e+000
 1.013380e-008  0.0000e+000  0.0000e+000  6.6904e-001  5.0000e+000
 1.013828e-008  0.0000e+000  0.0000e+000  6.9144e-001  5.0000e+000
 1.014052e-008  0.0000e+000  0.0000e+000  7.0264e-001  5.0000e+000
 1.014608e-008  0.0000e+000  0.0000e+000  7.3044e-001  5.0000e+000
 1.015427e-008  0.0000e+000  0.0000e+000  7.7138e-001  5.0000e+000
 1.016337e-008  0.0000e+000  0.0000e+000  8.1690e-001  5.0000e+000
 1.017325e-008  0.0000e+000  0.0000e+000  8.6629e-001  5.0000e+000
 1.017819e-008  0.0000e+000  0.0000e+000  8.9099e-001  5.0000e+000
 1.018066e-008  0.0000e+000  0.0000e+000  9.0334e-001  5.0000e+000
 1.019402e-008  0.0000e+000  0.0000e+000  9.7013e-001  5.0000e+000
 1.022509e-008  0.0000e+000  0.0000e+000  1.1255e+000  5.0000e+000
 1.027246e-008  0.0000e+000  0.0000e+000  1.3623e+000  5.0000e+000
 1.033097e-008  0.0000e+000  0.0000e+000  1.6549e+000  5.0000e+000
 1.040095e-008  0.0000e+000  0.0000e+000  2.0048e+000  5.0000e+000
