* T-Spice 13.00 Simulation	Tue Apr 24 17:17:21 2012	C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\3_Input_NOR_Gate\3_Input_NOR_Gate.sp
* Command line: tspice -o "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\3_Input_NOR_Gate\3_Input_NOR_Gate.out" "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\3_Input_NOR_Gate\3_Input_NOR_Gate.sp" 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 2
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 3                 MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 1       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 4                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 1                    Boundary nodes - 5       
*         Total nodes - 6       


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-009   1e-007
TRANSIENT ANALYSIS
Time<s>         v(Vin1)<V>   v(Vin2)<V>   v(Vin3)<V>   v(Vout)<V>
 0.000000e+000  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 6.250000e-011  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 6.875000e-010  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 1.000000e-009  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 1.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 3.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 5.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 7.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 9.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 1.000000e-008  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 1.025000e-008  0.0000e+000  0.0000e+000  1.2500e+000  4.4486e-001
 1.037500e-008  0.0000e+000  0.0000e+000  1.8750e+000  1.9558e-001
 1.049312e-008  0.0000e+000  0.0000e+000  2.4656e+000  1.3462e-001
 1.061449e-008  0.0000e+000  0.0000e+000  3.0725e+000  1.0577e-001
 1.075182e-008  0.0000e+000  0.0000e+000  3.7591e+000  8.2541e-002
 1.091340e-008  0.0000e+000  0.0000e+000  4.5670e+000  6.7867e-002
 1.100000e-008  0.0000e+000  0.0000e+000  5.0000e+000  6.0415e-002
 1.114798e-008  0.0000e+000  0.0000e+000  5.0000e+000  6.0156e-002
 1.262778e-008  0.0000e+000  0.0000e+000  5.0000e+000  6.0156e-002
 1.462778e-008  0.0000e+000  0.0000e+000  5.0000e+000  6.0156e-002
 1.662778e-008  0.0000e+000  0.0000e+000  5.0000e+000  6.0156e-002
 1.862778e-008  0.0000e+000  0.0000e+000  5.0000e+000  6.0156e-002
 2.000000e-008  0.0000e+000  0.0000e+000  5.0000e+000  6.0154e-002
 2.025000e-008  0.0000e+000  1.2500e+000  3.7500e+000  6.5869e-002
 2.049999e-008  0.0000e+000  2.5000e+000  2.5000e+000  6.5869e-002
 2.074999e-008  0.0000e+000  3.7500e+000  1.2500e+000  6.5904e-002
 2.099999e-008  0.0000e+000  5.0000e+000  1.6875e-014  6.0159e-002
 2.124999e-008  0.0000e+000  5.0000e+000  0.0000e+000  6.0150e-002
 2.324999e-008  0.0000e+000  5.0000e+000  0.0000e+000  6.0160e-002
 2.525000e-008  0.0000e+000  5.0000e+000  0.0000e+000  6.0171e-002
 2.725000e-008  0.0000e+000  5.0000e+000  0.0000e+000  6.0140e-002
