* T-Spice 13.00 Simulation	Tue Apr 24 17:47:26 2012	C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\4_Input_NOR_Gate\4_Input_NOR_Gate.sp
* Command line: tspice -o "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\4_Input_NOR_Gate\4_Input_NOR_Gate.out" "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\4_Input_NOR_Gate\4_Input_NOR_Gate.sp" 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 2
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 4                 MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 1       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 5                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 1                    Boundary nodes - 6       
*         Total nodes - 7       


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-009   2e-007
TRANSIENT ANALYSIS
Time<s>         v(Vin1)<V>   v(Vin2)<V>   v(Vin3)<V>   v(Vin4)<V>   v(Vout)<V>
 0.000000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 6.250000e-011  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 6.875000e-010  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 1.000000e-009  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 1.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 3.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 5.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 7.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 9.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 1.000000e-008  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 1.025000e-008  0.0000e+000  0.0000e+000  0.0000e+000  1.2500e+000  4.5842e+000
 1.050000e-008  0.0000e+000  0.0000e+000  0.0000e+000  2.5000e+000  2.7287e+000
 1.062862e-008  0.0000e+000  0.0000e+000  0.0000e+000  3.1431e+000  1.7772e+000
 1.071020e-008  0.0000e+000  0.0000e+000  0.0000e+000  3.5510e+000  1.5047e+000
 1.081497e-008  0.0000e+000  0.0000e+000  0.0000e+000  4.0749e+000  1.2861e+000
 1.095320e-008  0.0000e+000  0.0000e+000  0.0000e+000  4.7660e+000  1.0828e+000
 1.100000e-008  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  1.0338e+000
 1.110877e-008  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  1.0309e+000
 1.219657e-008  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  1.0309e+000
