* T-Spice 13.00 Simulation	Tue Apr 24 14:31:06 2012	C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\Full_Adder\Full_Adder.sp
* Command line: tspice -o "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\Full_Adder\Full_Adder.out" "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\Full_Adder\Full_Adder.sp" 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 2
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 23                MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 14      
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 4                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 10      
*   Independent nodes - 20                   Boundary nodes - 5       
*         Total nodes - 25      


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-009   1e-007
TRANSIENT ANALYSIS
Time<s>         v(Vin1)<V>   v(Vin2)<V>   v(Vcin)<V>    v(Sum)<V>  v(Carry)<V>
 0.000000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.0827e+000  1.1442e+000
 6.250000e-011  0.0000e+000  0.0000e+000  0.0000e+000  1.0827e+000  1.1442e+000
 6.875000e-010  0.0000e+000  0.0000e+000  0.0000e+000  1.0827e+000  1.1442e+000
 1.000000e-009  0.0000e+000  0.0000e+000  0.0000e+000  1.0827e+000  1.1442e+000
 1.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  1.0827e+000  1.1442e+000
 3.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  1.0827e+000  1.1442e+000
 5.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  1.0827e+000  1.1442e+000
 7.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  1.0827e+000  1.1442e+000
 9.250000e-009  0.0000e+000  0.0000e+000  0.0000e+000  1.0827e+000  1.1442e+000
 1.000000e-008  0.0000e+000  0.0000e+000  0.0000e+000  1.0827e+000  1.1442e+000
 1.001621e-008  0.0000e+000  0.0000e+000  8.1073e-002  1.0827e+000  1.1441e+000
 1.010621e-008  0.0000e+000  0.0000e+000  5.3107e-001  1.0845e+000  1.1445e+000
 1.015121e-008  0.0000e+000  0.0000e+000  7.5607e-001  1.0961e+000  1.1456e+000
 1.020823e-008  0.0000e+000  0.0000e+000  1.0412e+000  1.1360e+000  1.1483e+000
 1.027241e-008  0.0000e+000  0.0000e+000  1.3621e+000  1.2097e+000  1.1511e+000
 1.034051e-008  0.0000e+000  0.0000e+000  1.7026e+000  1.3425e+000  1.1530e+000
 1.041709e-008  0.0000e+000  0.0000e+000  2.0855e+000  1.6079e+000  1.1532e+000
 1.049316e-008  0.0000e+000  0.0000e+000  2.4658e+000  2.1674e+000  1.1533e+000
 1.056050e-008  0.0000e+000  0.0000e+000  2.8025e+000  2.7697e+000  1.1535e+000
 1.061325e-008  0.0000e+000  0.0000e+000  3.0663e+000  3.0406e+000  1.1536e+000
 1.067035e-008  0.0000e+000  0.0000e+000  3.3518e+000  3.2762e+000  1.1537e+000
 1.074715e-008  0.0000e+000  0.0000e+000  3.7358e+000  3.4717e+000  1.1539e+000
 1.085058e-008  0.0000e+000  0.0000e+000  4.2529e+000  3.6634e+000  1.1542e+000
 1.098164e-008  0.0000e+000  0.0000e+000  4.9082e+000  3.8234e+000  1.1544e+000
 1.100000e-008  0.0000e+000  0.0000e+000  5.0000e+000  3.8447e+000  1.1545e+000
 1.106141e-008  0.0000e+000  0.0000e+000  5.0000e+000  3.8480e+000  1.1545e+000
 1.167553e-008  0.0000e+000  0.0000e+000  5.0000e+000  3.8482e+000  1.1545e+000
 1.367553e-008  0.0000e+000  0.0000e+000  5.0000e+000  3.8482e+000  1.1545e+000
 1.567553e-008  0.0000e+000  0.0000e+000  5.0000e+000  3.8482e+000  1.1545e+000
 1.767553e-008  0.0000e+000  0.0000e+000  5.0000e+000  3.8482e+000  1.1545e+000
 1.967553e-008  0.0000e+000  0.0000e+000  5.0000e+000  3.8482e+000  1.1545e+000
 2.000000e-008  0.0000e+000  0.0000e+000  5.0000e+000  3.8482e+000  1.1545e+000
 2.001520e-008  0.0000e+000  7.6015e-002  4.9240e+000  3.8361e+000  1.1544e+000
 2.010520e-008  0.0000e+000  5.2601e-001  4.4740e+000  3.7327e+000  1.1542e+000
 2.015020e-008  0.0000e+000  7.5101e-001  4.2490e+000  3.6708e+000  1.1543e+000
 2.020722e-008  0.0000e+000  1.0361e+000  3.9639e+000  3.5763e+000  1.1552e+000
 2.027140e-008  0.0000e+000  1.3570e+000  3.6430e+000  3.4495e+000  1.1573e+000
 2.033950e-008  0.0000e+000  1.6975e+000  3.3025e+000  3.2869e+000  1.1616e+000
 2.041596e-008  0.0000e+000  2.0798e+000  2.9202e+000  3.0832e+000  1.1729e+000
 2.048300e-008  0.0000e+000  2.4150e+000  2.5850e+000  2.9927e+000  1.1937e+000
 2.053777e-008  0.0000e+000  2.6889e+000  2.3111e+000  3.0070e+000  1.2038e+000
 2.059776e-008  0.0000e+000  2.9888e+000  2.0112e+000  2.8910e+000  1.1940e+000
 2.064932e-008  0.0000e+000  3.2466e+000  1.7534e+000  2.9947e+000  1.1817e+000
 2.071478e-008  0.0000e+000  3.5739e+000  1.4261e+000  3.2399e+000  1.1669e+000
 2.079096e-008  0.0000e+000  3.9548e+000  1.0452e+000  3.3558e+000  1.1542e+000
 2.086515e-008  0.0000e+000  4.3258e+000  6.7421e-001  3.4009e+000  1.1469e+000
