* T-Spice 13.00 Simulation	Tue Apr 24 13:54:01 2012	C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\Half_Adder\Half_Adder.sp
* Command line: tspice -o "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\Half_Adder\Half_Adder.out" "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\Half_Adder\Half_Adder.sp" 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 2
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 10                MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 6       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 3                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 4       
*   Independent nodes - 9                    Boundary nodes - 4       
*         Total nodes - 13      


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-009   1e-007
TRANSIENT ANALYSIS
Time<s>         v(Vin1)<V>   v(Vin2)<V>    v(Sum)<V>  v(Carry)<V>
 0.000000e+000  0.0000e+000  0.0000e+000  1.0308e+000  1.0308e+000
 6.250000e-011  0.0000e+000  0.0000e+000  1.0308e+000  1.0308e+000
 6.875000e-010  0.0000e+000  0.0000e+000  1.0308e+000  1.0308e+000
 1.000000e-009  0.0000e+000  0.0000e+000  1.0308e+000  1.0308e+000
 1.250000e-009  0.0000e+000  0.0000e+000  1.0308e+000  1.0308e+000
 3.250000e-009  0.0000e+000  0.0000e+000  1.0308e+000  1.0308e+000
 5.250000e-009  0.0000e+000  0.0000e+000  1.0308e+000  1.0308e+000
 7.250000e-009  0.0000e+000  0.0000e+000  1.0308e+000  1.0308e+000
 9.250000e-009  0.0000e+000  0.0000e+000  1.0308e+000  1.0308e+000
 1.000000e-008  0.0000e+000  0.0000e+000  1.0308e+000  1.0308e+000
 1.001503e-008  0.0000e+000  7.5179e-002  1.0308e+000  1.0308e+000
 1.010503e-008  0.0000e+000  5.2518e-001  1.0324e+000  1.0308e+000
 1.015003e-008  0.0000e+000  7.5018e-001  1.0428e+000  1.0308e+000
 1.017253e-008  0.0000e+000  8.6268e-001  1.0551e+000  1.0308e+000
 1.021025e-008  0.0000e+000  1.0513e+000  1.0809e+000  1.0308e+000
 1.026245e-008  0.0000e+000  1.3123e+000  1.1344e+000  1.0308e+000
 1.032386e-008  0.0000e+000  1.6193e+000  1.2311e+000  1.0308e+000
 1.039478e-008  0.0000e+000  1.9739e+000  1.4134e+000  1.0308e+000
 1.047892e-008  0.0000e+000  2.3946e+000  1.8544e+000  1.0308e+000
 1.056161e-008  0.0000e+000  2.8081e+000  2.5842e+000  1.0308e+000
 1.063985e-008  0.0000e+000  3.1993e+000  3.0306e+000  1.0308e+000
 1.072922e-008  0.0000e+000  3.6461e+000  3.3548e+000  1.0308e+000
