* T-Spice 13.00 Simulation	Tue Apr 24 19:10:00 2012	C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\MUX_4x1\MUX_4x1.sp
* Command line: tspice -o "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\MUX_4x1\MUX_4x1.out" "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\MUX_4x1\MUX_4x1.sp" 
* T-Spice Win32 13.00.20080321.01:01:33
* Warning : Node X4_Input_NAND_Gate_1.N_1 is attached to only one device (X4_Input_NAND_Gate_1.MNMOS_1)
* Warning : Node X4_Input_NAND_Gate_1.N_3 is attached to only one device (X4_Input_NAND_Gate_1.MNMOS_2)
* Warning : Node X4_Input_NAND_Gate_1.N_5 is attached to only one device (X4_Input_NAND_Gate_1.MNMOS_3)
* Warning : Node X4_Input_NAND_Gate_1.N_7 is attached to only one device (X4_Input_NAND_Gate_1.MNMOS_4)
* Warning : Node X4_Input_NAND_Gate_2.N_1 is attached to only one device (X4_Input_NAND_Gate_2.MNMOS_1)
*
* Warning : Disabling printout of duplicate warning messages.
*         : 	Use '.options maxmsg=0' to view all warnings,
*         : 	or increase maxmsg from 5 to view more messages.
*

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 2
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 27                MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 12      
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 8                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 12      
*   Independent nodes - 40                   Boundary nodes - 9       
*         Total nodes - 49      

* *** 6 WARNING MESSAGES GENERATED DURING SETUP


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-009   1e-007
TRANSIENT ANALYSIS
Time<s>           v(s0)<V>     v(s1)<V>   v(Vin1)<V>   v(Vin2)<V>   v(Vin3)<V>   v(Vin4)<V>   v(Vout)<V>
 0.000000e+000  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9655e+000
 6.250000e-011  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9655e+000
 6.875000e-010  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9655e+000
 1.000000e-009  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9655e+000
 1.250000e-009  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9655e+000
 3.250000e-009  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9655e+000
 5.250000e-009  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9655e+000
 7.250000e-009  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9655e+000
 9.250000e-009  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9655e+000
 1.000000e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9655e+000
 1.001573e-008  0.0000e+000  7.8678e-002  4.9213e+000  7.8678e-002  0.0000e+000  0.0000e+000  1.9592e+000
 1.010573e-008  0.0000e+000  5.2868e-001  4.4713e+000  5.2868e-001  0.0000e+000  0.0000e+000  1.8781e+000
 1.015073e-008  0.0000e+000  7.5368e-001  4.2463e+000  7.5368e-001  0.0000e+000  0.0000e+000  1.8326e+000
 1.017323e-008  0.0000e+000  8.6618e-001  4.1338e+000  8.6618e-001  0.0000e+000  0.0000e+000  1.8048e+000
 1.018448e-008  0.0000e+000  9.2243e-001  4.0776e+000  9.2243e-001  0.0000e+000  0.0000e+000  1.7902e+000
 1.019550e-008  0.0000e+000  9.7752e-001  4.0225e+000  9.7752e-001  0.0000e+000  0.0000e+000  1.7767e+000
 1.020777e-008  0.0000e+000  1.0389e+000  3.9611e+000  1.0389e+000  0.0000e+000  0.0000e+000  1.7638e+000
 1.021391e-008  0.0000e+000  1.0696e+000  3.9304e+000  1.0696e+000  0.0000e+000  0.0000e+000  1.7584e+000
 1.023414e-008  0.0000e+000  1.1707e+000  3.8293e+000  1.1707e+000  0.0000e+000  0.0000e+000  1.7386e+000
 1.027237e-008  0.0000e+000  1.3619e+000  3.6381e+000  1.3619e+000  0.0000e+000  0.0000e+000  1.6930e+000
